Dex_Number,Name,Type,Generation,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Total,Cluster,Archetype
581,Swanna,Water  Flying,5,75,87,63,87,63,98,473,1,Below Average
584,Vanilluxe,Ice,5,71,95,85,110,95,79,535,2,All-Rounder
586,Sawsbuck,Normal  Grass,5,80,100,70,60,70,95,475,1,Below Average
587,Emolga,Electric  Flying,5,55,75,60,75,60,103,428,1,Below Average
589,Escavalier,Bug  Steel,5,70,135,105,60,105,20,495,4,Physical Wall
591,Amoonguss,Grass  Poison,5,114,85,70,85,80,30,464,0,HP Tank
593,Jellicent,Water  Ghost,5,100,60,70,85,105,60,480,3,Sp. Fighter
594,Alomomola,Water,5,165,75,80,40,45,65,470,0,HP Tank
596,Galvantula,Bug  Electric,5,70,77,60,97,60,108,472,1,Below Average
598,Ferrothorn,Grass  Steel,5,74,94,131,54,116,20,489,4,Physical Wall
601,Klinklang,Steel,5,60,100,115,70,85,90,520,4,Physical Wall
604,Eelektross,Electric,5,85,115,80,105,80,50,515,0,HP Tank
606,Beheeyem,Psychic,5,75,75,75,125,95,40,485,3,Sp. Fighter
609,Chandelure,Ghost  Fire,5,60,55,90,145,90,80,520,3,Sp. Fighter
612,Haxorus,Dragon,5,76,147,90,60,70,97,540,4,Physical Wall
614,Beartic,Ice,5,95,130,80,70,80,50,505,4,Physical Wall
615,Cryogonal,Ice,5,80,50,50,95,135,105,515,3,Sp. Fighter
617,Accelgor,Bug,5,80,70,40,100,60,145,495,1,Below Average
618,Stunfisk,Ground  Electric,5,109,66,84,81,99,32,471,0,HP Tank
618,Stunfisk  Galarian Stunfisk,Ground  Steel,5,109,81,99,66,84,32,471,0,HP Tank
620,Mienshao,Fighting,5,65,125,60,95,60,105,510,1,Below Average
621,Druddigon,Dragon,5,77,120,90,60,90,48,485,4,Physical Wall
623,Golurk,Ground  Ghost,5,89,124,80,55,80,55,483,4,Physical Wall
626,Bouffalant,Normal,5,95,110,95,40,95,55,490,4,Physical Wall
628,Braviary,Normal  Flying,5,100,123,75,57,75,80,510,4,Physical Wall
628,Braviary  Hisuian Braviary,Psychic  Flying,5,110,83,70,112,70,65,510,0,HP Tank
630,Mandibuzz,Dark  Flying,5,110,65,105,55,95,80,510,0,HP Tank
631,Heatmor,Fire,5,85,97,66,105,66,65,484,0,HP Tank
632,Durant,Bug  Steel,5,58,109,112,48,48,109,484,4,Physical Wall
635,Hydreigon,Dark  Dragon,5,92,105,90,125,90,98,600,2,All-Rounder
637,Volcarona,Bug  Fire,5,85,60,65,135,105,100,550,3,Sp. Fighter
638,Cobalion,Steel  Fighting,5,91,90,129,90,72,108,580,2,All-Rounder
639,Terrakion,Rock  Fighting,5,91,129,90,72,90,108,580,2,All-Rounder
640,Virizion,Grass  Fighting,5,91,90,72,90,129,108,580,2,All-Rounder
641,Tornadus  Incarnate Forme,Flying,5,79,115,70,125,80,111,580,2,All-Rounder
641,Tornadus  Therian Forme,Flying,5,79,100,80,110,90,121,580,2,All-Rounder
642,Thundurus  Incarnate Forme,Electric  Flying,5,79,115,70,125,80,111,580,2,All-Rounder
642,Thundurus  Therian Forme,Electric  Flying,5,79,105,70,145,80,101,580,2,All-Rounder
643,Reshiram,Dragon  Fire,5,100,120,100,150,120,90,680,2,All-Rounder
644,Zekrom,Dragon  Electric,5,100,150,120,120,100,90,680,2,All-Rounder
645,Landorus  Incarnate Forme,Ground  Flying,5,89,125,90,115,80,101,600,2,All-Rounder
645,Landorus  Therian Forme,Ground  Flying,5,89,145,90,105,80,91,600,2,All-Rounder
646,Kyurem,Dragon  Ice,5,125,130,90,130,90,95,660,2,All-Rounder
646,Kyurem  White Kyurem,Dragon  Ice,5,125,120,90,170,100,95,700,2,All-Rounder
646,Kyurem  Black Kyurem,Dragon  Ice,5,125,170,100,120,90,95,700,2,All-Rounder
647,Keldeo  Ordinary Form,Water  Fighting,5,91,72,90,129,90,108,580,2,All-Rounder
648,Meloetta  Aria Forme,Normal  Psychic,5,100,77,77,128,128,90,600,3,Sp. Fighter
649,Genesect,Bug  Steel,5,71,120,95,120,95,99,600,2,All-Rounder
652,Chesnaught,Grass  Fighting,6,88,107,122,74,75,64,530,4,Physical Wall
655,Delphox,Fire  Psychic,6,75,69,72,114,100,104,534,3,Sp. Fighter
658,Greninja,Water  Dark,6,72,95,67,103,71,122,530,1,Below Average
660,Diggersby,Normal  Ground,6,85,56,77,50,77,78,423,1,Below Average
663,Talonflame,Fire  Flying,6,78,81,71,74,69,126,499,1,Below Average
666,Vivillon,Bug  Flying,6,80,52,50,90,50,89,411,1,Below Average
668,Pyroar,Fire  Normal,6,86,68,72,109,66,106,507,1,Below Average
670,Floette,Fairy,6,54,45,47,75,98,52,371,3,Sp. Fighter
671,Florges,Fairy,6,78,65,68,112,154,75,552,3,Sp. Fighter
673,Gogoat,Grass,6,123,100,62,97,81,68,531,0,HP Tank
675,Pangoro,Fighting  Dark,6,95,124,78,69,71,58,495,4,Physical Wall
676,Furfrou,Normal,6,75,80,60,65,90,102,472,1,Below Average
678,Meowstic  Male,Psychic,6,74,48,76,83,81,104,466,1,Below Average
678,Meowstic  Female,Psychic,6,74,48,76,83,81,104,466,1,Below Average
683,Aromatisse,Fairy,6,101,72,72,99,89,29,462,0,HP Tank
685,Slurpuff,Fairy,6,82,80,86,85,75,72,480,1,Below Average
687,Malamar,Dark  Psychic,6,86,92,88,68,75,73,482,4,Physical Wall
689,Barbaracle,Rock  Water,6,72,105,115,54,86,68,500,4,Physical Wall
691,Dragalge,Poison  Dragon,6,65,75,90,97,123,44,494,3,Sp. Fighter
693,Clawitzer,Water,6,71,73,88,120,89,59,500,3,Sp. Fighter
695,Heliolisk,Electric  Normal,6,62,55,52,109,94,109,481,1,Below Average
697,Tyrantrum,Rock  Dragon,6,82,121,119,69,59,71,521,4,Physical Wall
699,Aurorus,Rock  Ice,6,123,77,72,99,92,58,521,0,HP Tank
700,Sylveon,Fairy,6,95,65,65,110,130,60,525,3,Sp. Fighter
701,Hawlucha,Fighting  Flying,6,78,92,75,74,63,118,500,1,Below Average
702,Dedenne,Electric  Fairy,6,67,58,57,81,67,101,431,1,Below Average
703,Carbink,Rock  Fairy,6,50,50,150,50,150,50,500,3,Sp. Fighter
706,Goodra,Dragon,6,90,100,70,110,150,80,600,3,Sp. Fighter
706,Goodra  Hisuian Goodra,Steel  Dragon,6,80,100,100,110,150,60,600,3,Sp. Fighter
707,Klefki,Steel  Fairy,6,57,80,91,80,87,75,470,1,Below Average
709,Trevenant,Ghost  Grass,6,85,110,76,65,82,56,474,4,Physical Wall
711,Gourgeist  Average Size,Ghost  Grass,6,65,90,122,58,75,84,494,4,Physical Wall
711,Gourgeist  Small Size,Ghost  Grass,6,55,85,122,58,75,99,494,4,Physical Wall
711,Gourgeist  Large Size,Ghost  Grass,6,75,95,122,58,75,69,494,4,Physical Wall
711,Gourgeist  Super Size,Ghost  Grass,6,85,100,122,58,75,54,494,4,Physical Wall
713,Avalugg,Ice,6,95,117,184,44,46,28,514,4,Physical Wall
713,Avalugg  Hisuian Avalugg,Ice  Rock,6,95,127,184,34,36,38,514,4,Physical Wall
715,Noivern,Flying  Dragon,6,85,70,80,97,80,123,535,1,Below Average
716,Xerneas,Fairy,6,126,131,95,131,98,99,680,2,All-Rounder
717,Yveltal,Dark  Flying,6,126,131,95,131,98,99,680,2,All-Rounder
718,Zygarde  50% Forme,Dragon  Ground,6,108,100,121,81,95,95,600,2,All-Rounder
718,Zygarde  10% Forme,Dragon  Ground,6,54,100,71,61,85,115,486,1,Below Average
719,Diancie,Rock  Fairy,6,50,100,150,100,150,50,600,3,Sp. Fighter
720,Hoopa  Hoopa Confined,Psychic  Ghost,6,80,110,60,150,130,70,600,2,All-Rounder
720,Hoopa  Hoopa Unbound,Psychic  Dark,6,80,160,60,170,130,80,680,2,All-Rounder
721,Volcanion,Fire  Water,6,80,110,120,130,90,70,600,2,All-Rounder
724,Decidueye,Grass  Ghost,7,78,107,75,100,100,70,530,2,All-Rounder
724,Decidueye  Hisuian Decidueye,Grass  Fighting,7,88,112,80,95,95,60,530,2,All-Rounder
727,Incineroar,Fire  Dark,7,95,115,90,80,90,60,530,4,Physical Wall
730,Primarina,Water  Fairy,7,80,74,74,126,116,60,530,3,Sp. Fighter
733,Toucannon,Normal  Flying,7,80,120,75,75,75,60,485,4,Physical Wall
735,Gumshoos,Normal,7,88,110,60,55,60,45,418,0,HP Tank
738,Vikavolt,Bug  Electric,7,77,70,90,145,75,43,500,3,Sp. Fighter
740,Crabominable,Fighting  Ice,7,97,132,77,62,67,43,478,4,Physical Wall
741,Oricorio  Baile Style,Fire  Flying,7,75,70,70,98,70,93,476,1,Below Average
741,Oricorio  Pom-Pom Style,Electric  Flying,7,75,70,70,98,70,93,476,1,Below Average
741,Oricorio  Pa'u Style,Psychic  Flying,7,75,70,70,98,70,93,476,1,Below Average
741,Oricorio  Sensu Style,Ghost  Flying,7,75,70,70,98,70,93,476,1,Below Average
743,Ribombee,Bug  Fairy,7,60,55,60,95,70,124,464,1,Below Average
745,Lycanroc  Midday Form,Rock,7,75,115,65,55,65,112,487,1,Below Average
745,Lycanroc  Midnight Form,Rock,7,85,115,75,55,75,82,487,4,Physical Wall
745,Lycanroc  Dusk Form,Rock,7,75,117,65,55,65,110,487,1,Below Average
748,Toxapex,Poison  Water,7,50,63,152,53,142,35,495,3,Sp. Fighter
750,Mudsdale,Ground,7,100,125,100,55,85,35,500,4,Physical Wall
752,Araquanid,Water  Bug,7,68,70,92,50,132,42,454,3,Sp. Fighter
754,Lurantis,Grass,7,70,105,90,80,90,45,480,4,Physical Wall
756,Shiinotic,Grass  Fairy,7,60,45,80,90,100,30,405,3,Sp. Fighter
758,Salazzle,Poison  Fire,7,68,64,60,111,60,117,480,1,Below Average
760,Bewear,Normal  Fighting,7,120,125,80,55,60,60,500,0,HP Tank
763,Tsareena,Grass,7,72,120,98,50,98,72,510,4,Physical Wall
764,Comfey,Fairy,7,51,52,90,82,110,100,485,3,Sp. Fighter
765,Oranguru,Normal  Psychic,7,90,60,80,90,110,60,490,3,Sp. Fighter
766,Passimian,Fighting,7,100,120,90,40,60,80,490,4,Physical Wall
768,Golisopod,Bug  Water,7,75,125,140,60,90,40,530,4,Physical Wall
770,Palossand,Ghost  Ground,7,85,75,110,100,75,35,480,0,HP Tank
771,Pyukumuku,Water,7,55,60,130,30,130,5,410,3,Sp. Fighter
773,Silvally,Normal,7,95,95,95,95,95,95,570,2,All-Rounder
775,Komala,Normal,7,65,115,65,75,95,65,480,1,Below Average
776,Turtonator,Fire  Dragon,7,60,78,135,91,85,36,485,3,Sp. Fighter
777,Togedemaru,Electric  Steel,7,65,98,63,40,73,96,435,1,Below Average
778,Mimikyu,Ghost  Fairy,7,55,90,80,50,105,96,476,1,Below Average
779,Bruxish,Water  Psychic,7,68,105,70,70,70,92,475,1,Below Average
780,Drampa,Normal  Dragon,7,78,60,85,135,91,36,485,3,Sp. Fighter
781,Dhelmise,Ghost  Grass,7,70,131,100,86,90,40,517,4,Physical Wall
784,Kommo-o,Dragon  Fighting,7,75,110,125,100,105,85,600,2,All-Rounder
785,Tapu Koko,Electric  Fairy,7,70,115,85,95,75,130,570,2,All-Rounder
786,Tapu Lele,Psychic  Fairy,7,70,85,75,130,115,95,570,3,Sp. Fighter
787,Tapu Bulu,Grass  Fairy,7,70,130,115,85,95,75,570,4,Physical Wall
788,Tapu Fini,Water  Fairy,7,70,75,115,95,130,85,570,3,Sp. Fighter
791,Solgaleo,Psychic  Steel,7,137,137,107,113,89,97,680,2,All-Rounder
792,Lunala,Psychic  Ghost,7,137,113,89,137,107,97,680,2,All-Rounder
793,Nihilego,Rock  Poison,7,109,53,47,127,131,103,570,3,Sp. Fighter
794,Buzzwole,Bug  Fighting,7,107,139,139,53,53,79,570,4,Physical Wall
795,Pheromosa,Bug  Fighting,7,71,137,37,137,37,151,570,1,Below Average
796,Xurkitree,Electric,7,83,89,71,173,71,83,570,2,All-Rounder
797,Celesteela,Steel  Flying,7,97,101,103,107,101,61,570,2,All-Rounder
798,Kartana,Grass  Steel,7,59,181,131,59,31,109,570,4,Physical Wall
799,Guzzlord,Dark  Dragon,7,223,101,53,97,53,43,570,0,HP Tank
800,Necrozma,Psychic,7,97,107,101,127,89,79,600,2,All-Rounder
800,Necrozma  Dusk Mane Necrozma,Psychic  Steel,7,97,157,127,113,109,77,680,2,All-Rounder
800,Necrozma  Dawn Wings Necrozma,Psychic  Ghost,7,97,113,109,157,127,77,680,2,All-Rounder
801,Magearna,Steel  Fairy,7,80,95,115,130,115,65,600,3,Sp. Fighter
802,Marshadow,Fighting  Ghost,7,90,125,80,90,90,125,600,2,All-Rounder
804,Naganadel,Poison  Dragon,7,73,73,73,127,73,121,540,1,Below Average
805,Stakataka,Rock  Steel,7,61,131,211,53,101,13,570,4,Physical Wall
806,Blacephalon,Fire  Ghost,7,53,127,53,151,79,107,570,2,All-Rounder
807,Zeraora,Electric,7,88,112,75,102,80,143,600,2,All-Rounder
809,Melmetal,Steel,7,135,143,143,80,65,34,600,4,Physical Wall
812,Rillaboom,Grass,8,100,125,90,60,70,85,530,4,Physical Wall
815,Cinderace,Fire,8,80,116,75,65,75,119,530,1,Below Average
818,Inteleon,Water,8,70,85,65,125,65,120,530,1,Below Average
820,Greedent,Normal,8,120,95,95,55,75,20,460,0,HP Tank
823,Corviknight,Flying  Steel,8,98,87,105,53,85,67,495,4,Physical Wall
826,Orbeetle,Bug  Psychic,8,60,45,110,80,120,90,505,3,Sp. Fighter
828,Thievul,Dark,8,70,58,58,87,92,90,455,1,Below Average
830,Eldegoss,Grass,8,60,50,90,80,120,60,460,3,Sp. Fighter
832,Dubwool,Normal,8,72,80,100,60,90,88,490,4,Physical Wall
834,Drednaw,Water  Rock,8,90,115,90,48,68,74,485,4,Physical Wall
836,Boltund,Electric,8,69,90,60,90,60,121,490,1,Below Average
839,Coalossal,Rock  Fire,8,110,80,120,80,90,30,510,0,HP Tank
841,Flapple,Grass  Dragon,8,70,110,80,95,60,70,485,1,Below Average
842,Appletun,Grass  Dragon,8,110,85,80,100,80,30,485,0,HP Tank
844,Sandaconda,Ground,8,72,107,125,65,70,71,510,4,Physical Wall
845,Cramorant,Flying  Water,8,70,85,55,85,95,85,475,1,Below Average
847,Barraskewda,Water,8,61,123,60,60,50,136,490,1,Below Average
849,Toxtricity  Amped Form,Electric  Poison,8,75,98,70,114,70,75,502,1,Below Average
851,Centiskorch,Fire  Bug,8,100,115,65,90,90,65,525,0,HP Tank
853,Grapploct,Fighting,8,80,118,90,70,80,42,480,4,Physical Wall
855,Polteageist,Ghost,8,60,65,65,134,114,70,508,3,Sp. Fighter
858,Hatterene,Psychic  Fairy,8,57,90,95,136,103,29,510,3,Sp. Fighter
861,Grimmsnarl,Dark  Fairy,8,95,120,65,95,75,60,510,0,HP Tank
862,Obstagoon,Dark  Normal,8,93,90,101,60,81,95,520,4,Physical Wall
863,Perrserker,Steel,8,70,110,100,50,60,50,440,4,Physical Wall
864,Cursola,Ghost,8,60,95,50,145,130,30,510,3,Sp. Fighter
865,Sirfetch'd,Fighting,8,62,135,95,68,82,65,507,4,Physical Wall
866,Mr. Rime,Ice  Psychic,8,80,85,75,110,100,70,520,3,Sp. Fighter
867,Runerigus,Ground  Ghost,8,58,95,145,50,105,30,483,4,Physical Wall
869,Alcremie,Fairy,8,65,60,75,110,121,64,495,3,Sp. Fighter
870,Falinks,Fighting,8,65,100,100,70,60,75,470,4,Physical Wall
871,Pincurchin,Electric,8,48,101,95,91,85,15,435,4,Physical Wall
873,Frosmoth,Ice  Bug,8,70,65,60,125,90,65,475,3,Sp. Fighter
874,Stonjourner,Rock,8,100,125,135,20,20,70,470,4,Physical Wall
876,Indeedee  Male,Psychic  Normal,8,60,65,55,105,95,95,475,1,Below Average
876,Indeedee  Female,Psychic  Normal,8,70,55,65,95,105,85,475,3,Sp. Fighter
879,Copperajah,Steel,8,122,130,69,80,69,30,500,0,HP Tank
880,Dracozolt,Electric  Dragon,8,90,100,90,80,70,75,505,4,Physical Wall
881,Arctozolt,Electric  Ice,8,90,100,90,90,80,55,505,0,HP Tank
882,Dracovish,Water  Dragon,8,90,90,100,70,80,75,505,4,Physical Wall
883,Arctovish,Water  Ice,8,90,90,100,80,90,55,505,4,Physical Wall
887,Dragapult,Dragon  Ghost,8,88,120,75,100,75,142,600,2,All-Rounder
888,Zacian  Hero of Many Battles,Fairy,8,92,120,115,80,115,138,660,2,All-Rounder
888,Zacian  Crowned Sword,Fairy  Steel,8,92,150,115,80,115,148,700,2,All-Rounder
889,Zamazenta  Hero of Many Battles,Fighting,8,92,120,115,80,115,138,660,2,All-Rounder
889,Zamazenta  Crowned Shield,Fighting  Steel,8,92,120,140,80,140,128,700,2,All-Rounder
890,Eternatus,Poison  Dragon,8,140,85,95,145,95,130,690,2,All-Rounder
892,Urshifu  Single Strike Style,Fighting  Dark,8,100,130,100,63,60,97,550,4,Physical Wall
892,Urshifu  Rapid Strike Style,Fighting  Water,8,100,130,100,63,60,97,550,4,Physical Wall
893,Zarude,Dark  Grass,8,105,120,105,70,95,105,600,2,All-Rounder
894,Regieleki,Electric,8,80,100,50,100,50,200,580,1,Below Average
895,Regidrago,Dragon,8,200,100,50,100,50,80,580,0,HP Tank
896,Glastrier,Ice,8,100,145,130,65,110,30,580,4,Physical Wall
897,Spectrier,Ghost,8,100,65,60,145,80,130,580,2,All-Rounder
898,Calyrex,Psychic  Grass,8,100,80,80,80,80,80,500,0,HP Tank
898,Calyrex  Ice Rider,Psychic  Ice,8,100,165,150,85,130,50,680,4,Physical Wall
898,Calyrex  Shadow Rider,Psychic  Ghost,8,100,85,80,165,100,150,680,2,All-Rounder
899,Wyrdeer,Normal  Psychic,8,103,105,72,105,75,65,525,0,HP Tank
900,Kleavor,Bug  Rock,8,70,135,95,45,70,85,500,4,Physical Wall
901,Ursaluna,Ground  Normal,8,130,140,105,45,80,50,550,4,Physical Wall
901,Ursaluna  Bloodmoon,Ground  Normal,8,113,70,120,135,65,52,555,0,HP Tank
902,Basculegion  Male,Water  Ghost,8,120,112,65,80,75,78,530,0,HP Tank
902,Basculegion  Female,Water  Ghost,8,120,92,65,100,75,78,530,0,HP Tank
903,Sneasler,Fighting  Poison,8,80,130,60,40,80,120,510,1,Below Average
904,Overqwil,Dark  Poison,8,85,115,95,65,65,85,510,4,Physical Wall
905,Enamorus  Incarnate Forme,Fairy  Flying,8,74,115,70,135,80,106,580,2,All-Rounder
905,Enamorus  Therian Forme,Fairy  Flying,8,74,115,110,135,100,46,580,2,All-Rounder
908,Meowscarada,Grass  Dark,9,76,110,70,81,70,123,530,1,Below Average
911,Skeledirge,Fire  Ghost,9,104,75,100,110,75,66,530,0,HP Tank
914,Quaquaval,Water  Fighting,9,85,120,80,85,75,85,530,2,All-Rounder
916,Oinkologne  Male,Normal,9,110,100,75,59,80,65,489,0,HP Tank
916,Oinkologne  Female,Normal,9,115,90,70,59,90,65,489,0,HP Tank
918,Spidops,Bug,9,60,79,92,52,86,35,404,4,Physical Wall
920,Lokix,Bug  Dark,9,71,102,78,52,55,92,450,1,Below Average
923,Pawmot,Electric  Fighting,9,70,115,70,70,60,105,490,1,Below Average
925,Maushold  Family of Three,Normal,9,74,75,70,65,75,111,470,1,Below Average
927,Dachsbun,Fairy,9,57,80,115,50,80,95,477,4,Physical Wall
930,Arboliva,Grass  Normal,9,78,69,90,125,109,39,510,3,Sp. Fighter
931,Squawkabilly  Green Plumage,Normal  Flying,9,82,96,51,45,51,92,417,1,Below Average
934,Garganacl,Rock,9,100,100,130,45,90,35,500,4,Physical Wall
936,Armarouge,Fire  Psychic,9,85,60,100,125,80,75,525,3,Sp. Fighter
937,Ceruledge,Fire  Ghost,9,75,125,80,60,100,85,525,4,Physical Wall
939,Bellibolt,Electric,9,109,64,91,103,83,45,495,0,HP Tank
941,Kilowattrel,Electric  Flying,9,70,70,60,105,60,125,490,1,Below Average
943,Mabosstiff,Dark,9,80,120,90,60,70,85,505,4,Physical Wall
945,Grafaiai,Poison  Normal,9,63,95,65,80,72,110,485,1,Below Average
947,Brambleghast,Grass  Ghost,9,55,115,70,80,70,90,480,1,Below Average
949,Toedscruel,Ground  Grass,9,80,70,65,80,120,100,515,3,Sp. Fighter
950,Klawf,Rock,9,70,100,115,35,55,75,450,4,Physical Wall
952,Scovillain,Grass  Fire,9,65,108,65,108,65,75,486,1,Below Average
954,Rabsca,Bug  Psychic,9,75,50,85,115,100,45,470,3,Sp. Fighter
956,Espathra,Psychic,9,95,60,60,101,60,105,481,1,Below Average
959,Tinkaton,Fairy  Steel,9,85,75,77,70,105,94,506,3,Sp. Fighter
961,Wugtrio,Water,9,35,100,50,50,70,120,425,1,Below Average
962,Bombirdier,Flying  Dark,9,70,103,85,60,85,82,485,4,Physical Wall
966,Revavroom,Steel  Poison,9,80,119,90,54,67,90,500,4,Physical Wall
967,Cyclizar,Dragon  Normal,9,70,95,65,85,65,121,501,1,Below Average
968,Orthworm,Steel,9,70,85,145,60,55,65,480,4,Physical Wall
970,Glimmora,Rock  Poison,9,83,55,90,130,81,86,525,3,Sp. Fighter
972,Houndstone,Ghost,9,72,101,100,50,97,68,488,4,Physical Wall
973,Flamigo,Flying  Fighting,9,82,115,74,75,64,90,500,1,Below Average
975,Cetitan,Ice,9,170,113,65,45,55,73,521,0,HP Tank
976,Veluza,Water  Psychic,9,90,102,73,78,65,70,478,0,HP Tank
977,Dondozo,Water,9,150,100,115,65,65,35,530,0,HP Tank
978,Tatsugiri  Curly Form,Dragon  Water,9,68,50,60,120,95,82,475,3,Sp. Fighter
979,Annihilape,Fighting  Ghost,9,110,115,80,50,90,90,535,4,Physical Wall
980,Clodsire,Poison  Ground,9,130,75,60,45,100,20,430,0,HP Tank
981,Farigiraf,Normal  Psychic,9,120,90,70,110,70,60,520,0,HP Tank
982,Dudunsparce  Two-Segment Form,Normal,9,125,100,80,85,75,55,520,0,HP Tank
983,Kingambit,Dark  Steel,9,100,135,120,60,85,50,550,4,Physical Wall
984,Great Tusk,Ground  Fighting,9,115,131,131,53,53,87,570,4,Physical Wall
985,Scream Tail,Fairy  Psychic,9,115,65,99,65,115,111,570,3,Sp. Fighter
986,Brute Bonnet,Grass  Dark,9,111,127,99,79,99,55,570,4,Physical Wall
987,Flutter Mane,Ghost  Fairy,9,55,55,55,135,135,135,570,3,Sp. Fighter
988,Slither Wing,Bug  Fighting,9,85,135,79,85,105,81,570,2,All-Rounder
989,Sandy Shocks,Electric  Ground,9,85,81,97,121,85,101,570,2,All-Rounder
990,Iron Treads,Ground  Steel,9,90,112,120,72,70,106,570,4,Physical Wall
991,Iron Bundle,Ice  Water,9,56,80,114,124,60,136,570,1,Below Average
992,Iron Hands,Fighting  Electric,9,154,140,108,50,68,50,570,0,HP Tank
993,Iron Jugulis,Dark  Flying,9,94,80,86,122,80,108,570,2,All-Rounder
994,Iron Moth,Fire  Poison,9,80,70,60,140,110,110,570,2,All-Rounder
995,Iron Thorns,Rock  Electric,9,100,134,110,70,84,72,570,4,Physical Wall
998,Baxcalibur,Dragon  Ice,9,115,145,92,75,86,87,600,2,All-Rounder
1000,Gholdengo,Steel  Ghost,9,87,60,95,133,91,84,550,3,Sp. Fighter
1001,Wo-Chien,Dark  Grass,9,85,85,100,95,135,70,570,3,Sp. Fighter
1002,Chien-Pao,Dark  Ice,9,80,120,80,90,65,135,570,2,All-Rounder
1003,Ting-Lu,Dark  Ground,9,155,110,125,55,80,45,570,0,HP Tank
1004,Chi-Yu,Dark  Fire,9,55,80,80,135,120,100,570,3,Sp. Fighter
1005,Roaring Moon,Dragon  Dark,9,105,139,71,55,101,119,590,2,All-Rounder
1006,Iron Valiant,Fairy  Fighting,9,74,130,90,120,60,116,590,2,All-Rounder
1007,Koraidon,Fighting  Dragon,9,100,135,115,85,100,135,670,2,All-Rounder
1008,Miraidon,Electric  Dragon,9,100,85,100,135,115,135,670,2,All-Rounder
1009,Walking Wake,Water  Dragon,9,99,83,91,125,83,109,590,2,All-Rounder
1010,Iron Leaves,Grass  Psychic,9,90,130,88,70,108,104,590,2,All-Rounder
1013,Sinistcha,Grass  Ghost,9,71,60,106,121,80,70,508,3,Sp. Fighter
1014,Okidogi,Poison  Fighting,9,88,128,115,58,86,80,555,4,Physical Wall
1015,Munkidori,Poison  Psychic,9,88,75,66,130,90,106,555,2,All-Rounder
1016,Fezandipiti,Poison  Fairy,9,88,91,82,70,125,99,555,3,Sp. Fighter
1017,Ogerpon  Teal Mask,Grass,9,80,120,84,60,96,110,550,2,All-Rounder
1017,Ogerpon  Wellspring Mask,Grass  Water,9,80,120,84,60,96,110,550,2,All-Rounder
1017,Ogerpon  Hearthflame Mask,Grass  Fire,9,80,120,84,60,96,110,550,2,All-Rounder
1017,Ogerpon  Cornerstone Mask,Grass  Rock,9,80,120,84,60,96,110,550,2,All-Rounder
1018,Archaludon,Steel  Dragon,9,90,105,130,125,65,85,600,2,All-Rounder
1019,Hydrapple,Grass  Dragon,9,106,80,110,120,80,44,540,0,HP Tank
1020,Gouging Fire,Fire  Dragon,9,105,115,121,65,93,91,590,4,Physical Wall
1021,Raging Bolt,Electric  Dragon,9,125,73,91,137,89,75,590,0,HP Tank
1022,Iron Boulder,Rock  Psychic,9,90,120,80,68,108,124,590,2,All-Rounder
1023,Iron Crown,Steel  Psychic,9,90,72,100,122,108,98,590,3,Sp. Fighter
1024,Terapagos  Terastal Form,Normal,9,95,95,110,105,110,85,600,2,All-Rounder
1025,Pecharunt,Poison  Ghost,9,88,88,160,88,88,88,600,4,Physical Wall
