Dex_Number,Name,Type,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation
720,Hoopa  Hoopa Confined,Psychic  Ghost,600,80,110,60,150,130,70,6
720,Hoopa  Hoopa Unbound,Psychic  Dark,680,80,160,60,170,130,80,6
721,Volcanion,Fire  Water,600,80,110,120,130,90,70,6
724,Decidueye,Grass  Ghost,530,78,107,75,100,100,70,7
724,Decidueye  Hisuian Decidueye,Grass  Fighting,530,88,112,80,95,95,60,7
727,Incineroar,Fire  Dark,530,95,115,90,80,90,60,7
730,Primarina,Water  Fairy,530,80,74,74,126,116,60,7
733,Toucannon,Normal  Flying,485,80,120,75,75,75,60,7
735,Gumshoos,Normal,418,88,110,60,55,60,45,7
738,Vikavolt,Bug  Electric,500,77,70,90,145,75,43,7
740,Crabominable,Fighting  Ice,478,97,132,77,62,67,43,7
741,Oricorio  Baile Style,Fire  Flying,476,75,70,70,98,70,93,7
741,Oricorio  Pom-Pom Style,Electric  Flying,476,75,70,70,98,70,93,7
741,Oricorio  Pa'u Style,Psychic  Flying,476,75,70,70,98,70,93,7
741,Oricorio  Sensu Style,Ghost  Flying,476,75,70,70,98,70,93,7
743,Ribombee,Bug  Fairy,464,60,55,60,95,70,124,7
745,Lycanroc  Midday Form,Rock,487,75,115,65,55,65,112,7
745,Lycanroc  Midnight Form,Rock,487,85,115,75,55,75,82,7
745,Lycanroc  Dusk Form,Rock,487,75,117,65,55,65,110,7
748,Toxapex,Poison  Water,495,50,63,152,53,142,35,7
750,Mudsdale,Ground,500,100,125,100,55,85,35,7
752,Araquanid,Water  Bug,454,68,70,92,50,132,42,7
754,Lurantis,Grass,480,70,105,90,80,90,45,7
756,Shiinotic,Grass  Fairy,405,60,45,80,90,100,30,7
758,Salazzle,Poison  Fire,480,68,64,60,111,60,117,7
760,Bewear,Normal  Fighting,500,120,125,80,55,60,60,7
763,Tsareena,Grass,510,72,120,98,50,98,72,7
764,Comfey,Fairy,485,51,52,90,82,110,100,7
765,Oranguru,Normal  Psychic,490,90,60,80,90,110,60,7
766,Passimian,Fighting,490,100,120,90,40,60,80,7
768,Golisopod,Bug  Water,530,75,125,140,60,90,40,7
770,Palossand,Ghost  Ground,480,85,75,110,100,75,35,7
771,Pyukumuku,Water,410,55,60,130,30,130,5,7
773,Silvally,Normal,570,95,95,95,95,95,95,7
775,Komala,Normal,480,65,115,65,75,95,65,7
776,Turtonator,Fire  Dragon,485,60,78,135,91,85,36,7
777,Togedemaru,Electric  Steel,435,65,98,63,40,73,96,7
778,Mimikyu,Ghost  Fairy,476,55,90,80,50,105,96,7
779,Bruxish,Water  Psychic,475,68,105,70,70,70,92,7
780,Drampa,Normal  Dragon,485,78,60,85,135,91,36,7
781,Dhelmise,Ghost  Grass,517,70,131,100,86,90,40,7
784,Kommo-o,Dragon  Fighting,600,75,110,125,100,105,85,7
785,Tapu Koko,Electric  Fairy,570,70,115,85,95,75,130,7
786,Tapu Lele,Psychic  Fairy,570,70,85,75,130,115,95,7
787,Tapu Bulu,Grass  Fairy,570,70,130,115,85,95,75,7
788,Tapu Fini,Water  Fairy,570,70,75,115,95,130,85,7
791,Solgaleo,Psychic  Steel,680,137,137,107,113,89,97,7
792,Lunala,Psychic  Ghost,680,137,113,89,137,107,97,7
793,Nihilego,Rock  Poison,570,109,53,47,127,131,103,7
794,Buzzwole,Bug  Fighting,570,107,139,139,53,53,79,7
795,Pheromosa,Bug  Fighting,570,71,137,37,137,37,151,7
796,Xurkitree,Electric,570,83,89,71,173,71,83,7
797,Celesteela,Steel  Flying,570,97,101,103,107,101,61,7
798,Kartana,Grass  Steel,570,59,181,131,59,31,109,7
799,Guzzlord,Dark  Dragon,570,223,101,53,97,53,43,7
800,Necrozma,Psychic,600,97,107,101,127,89,79,7
800,Necrozma  Dusk Mane Necrozma,Psychic  Steel,680,97,157,127,113,109,77,7
800,Necrozma  Dawn Wings Necrozma,Psychic  Ghost,680,97,113,109,157,127,77,7
801,Magearna,Steel  Fairy,600,80,95,115,130,115,65,7
802,Marshadow,Fighting  Ghost,600,90,125,80,90,90,125,7
804,Naganadel,Poison  Dragon,540,73,73,73,127,73,121,7
805,Stakataka,Rock  Steel,570,61,131,211,53,101,13,7
806,Blacephalon,Fire  Ghost,570,53,127,53,151,79,107,7
807,Zeraora,Electric,600,88,112,75,102,80,143,7
809,Melmetal,Steel,600,135,143,143,80,65,34,7
812,Rillaboom,Grass,530,100,125,90,60,70,85,8
815,Cinderace,Fire,530,80,116,75,65,75,119,8
818,Inteleon,Water,530,70,85,65,125,65,120,8
820,Greedent,Normal,460,120,95,95,55,75,20,8
823,Corviknight,Flying  Steel,495,98,87,105,53,85,67,8
826,Orbeetle,Bug  Psychic,505,60,45,110,80,120,90,8
828,Thievul,Dark,455,70,58,58,87,92,90,8
830,Eldegoss,Grass,460,60,50,90,80,120,60,8
832,Dubwool,Normal,490,72,80,100,60,90,88,8
834,Drednaw,Water  Rock,485,90,115,90,48,68,74,8
836,Boltund,Electric,490,69,90,60,90,60,121,8
839,Coalossal,Rock  Fire,510,110,80,120,80,90,30,8
841,Flapple,Grass  Dragon,485,70,110,80,95,60,70,8
842,Appletun,Grass  Dragon,485,110,85,80,100,80,30,8
844,Sandaconda,Ground,510,72,107,125,65,70,71,8
845,Cramorant,Flying  Water,475,70,85,55,85,95,85,8
847,Barraskewda,Water,490,61,123,60,60,50,136,8
849,Toxtricity  Amped Form,Electric  Poison,502,75,98,70,114,70,75,8
851,Centiskorch,Fire  Bug,525,100,115,65,90,90,65,8
853,Grapploct,Fighting,480,80,118,90,70,80,42,8
855,Polteageist,Ghost,508,60,65,65,134,114,70,8
858,Hatterene,Psychic  Fairy,510,57,90,95,136,103,29,8
861,Grimmsnarl,Dark  Fairy,510,95,120,65,95,75,60,8
862,Obstagoon,Dark  Normal,520,93,90,101,60,81,95,8
863,Perrserker,Steel,440,70,110,100,50,60,50,8
864,Cursola,Ghost,510,60,95,50,145,130,30,8
865,Sirfetch'd,Fighting,507,62,135,95,68,82,65,8
866,Mr. Rime,Ice  Psychic,520,80,85,75,110,100,70,8
867,Runerigus,Ground  Ghost,483,58,95,145,50,105,30,8
869,Alcremie,Fairy,495,65,60,75,110,121,64,8
870,Falinks,Fighting,470,65,100,100,70,60,75,8
871,Pincurchin,Electric,435,48,101,95,91,85,15,8
873,Frosmoth,Ice  Bug,475,70,65,60,125,90,65,8
874,Stonjourner,Rock,470,100,125,135,20,20,70,8
876,Indeedee  Male,Psychic  Normal,475,60,65,55,105,95,95,8
876,Indeedee  Female,Psychic  Normal,475,70,55,65,95,105,85,8
879,Copperajah,Steel,500,122,130,69,80,69,30,8
880,Dracozolt,Electric  Dragon,505,90,100,90,80,70,75,8
881,Arctozolt,Electric  Ice,505,90,100,90,90,80,55,8
882,Dracovish,Water  Dragon,505,90,90,100,70,80,75,8
883,Arctovish,Water  Ice,505,90,90,100,80,90,55,8
887,Dragapult,Dragon  Ghost,600,88,120,75,100,75,142,8
888,Zacian  Hero of Many Battles,Fairy,660,92,120,115,80,115,138,8
888,Zacian  Crowned Sword,Fairy  Steel,700,92,150,115,80,115,148,8
889,Zamazenta  Hero of Many Battles,Fighting,660,92,120,115,80,115,138,8
889,Zamazenta  Crowned Shield,Fighting  Steel,700,92,120,140,80,140,128,8
890,Eternatus,Poison  Dragon,690,140,85,95,145,95,130,8
892,Urshifu  Single Strike Style,Fighting  Dark,550,100,130,100,63,60,97,8
892,Urshifu  Rapid Strike Style,Fighting  Water,550,100,130,100,63,60,97,8
893,Zarude,Dark  Grass,600,105,120,105,70,95,105,8
894,Regieleki,Electric,580,80,100,50,100,50,200,8
895,Regidrago,Dragon,580,200,100,50,100,50,80,8
896,Glastrier,Ice,580,100,145,130,65,110,30,8
897,Spectrier,Ghost,580,100,65,60,145,80,130,8
898,Calyrex,Psychic  Grass,500,100,80,80,80,80,80,8
898,Calyrex  Ice Rider,Psychic  Ice,680,100,165,150,85,130,50,8
898,Calyrex  Shadow Rider,Psychic  Ghost,680,100,85,80,165,100,150,8
899,Wyrdeer,Normal  Psychic,525,103,105,72,105,75,65,8
900,Kleavor,Bug  Rock,500,70,135,95,45,70,85,8
901,Ursaluna,Ground  Normal,550,130,140,105,45,80,50,8
901,Ursaluna  Bloodmoon,Ground  Normal,555,113,70,120,135,65,52,8
902,Basculegion  Male,Water  Ghost,530,120,112,65,80,75,78,8
902,Basculegion  Female,Water  Ghost,530,120,92,65,100,75,78,8
903,Sneasler,Fighting  Poison,510,80,130,60,40,80,120,8
904,Overqwil,Dark  Poison,510,85,115,95,65,65,85,8
905,Enamorus  Incarnate Forme,Fairy  Flying,580,74,115,70,135,80,106,8
905,Enamorus  Therian Forme,Fairy  Flying,580,74,115,110,135,100,46,8
908,Meowscarada,Grass  Dark,530,76,110,70,81,70,123,9
911,Skeledirge,Fire  Ghost,530,104,75,100,110,75,66,9
914,Quaquaval,Water  Fighting,530,85,120,80,85,75,85,9
916,Oinkologne  Male,Normal,489,110,100,75,59,80,65,9
916,Oinkologne  Female,Normal,489,115,90,70,59,90,65,9
918,Spidops,Bug,404,60,79,92,52,86,35,9
920,Lokix,Bug  Dark,450,71,102,78,52,55,92,9
923,Pawmot,Electric  Fighting,490,70,115,70,70,60,105,9
925,Maushold  Family of Three,Normal,470,74,75,70,65,75,111,9
927,Dachsbun,Fairy,477,57,80,115,50,80,95,9
930,Arboliva,Grass  Normal,510,78,69,90,125,109,39,9
931,Squawkabilly  Green Plumage,Normal  Flying,417,82,96,51,45,51,92,9
934,Garganacl,Rock,500,100,100,130,45,90,35,9
936,Armarouge,Fire  Psychic,525,85,60,100,125,80,75,9
937,Ceruledge,Fire  Ghost,525,75,125,80,60,100,85,9
939,Bellibolt,Electric,495,109,64,91,103,83,45,9
941,Kilowattrel,Electric  Flying,490,70,70,60,105,60,125,9
943,Mabosstiff,Dark,505,80,120,90,60,70,85,9
945,Grafaiai,Poison  Normal,485,63,95,65,80,72,110,9
947,Brambleghast,Grass  Ghost,480,55,115,70,80,70,90,9
949,Toedscruel,Ground  Grass,515,80,70,65,80,120,100,9
950,Klawf,Rock,450,70,100,115,35,55,75,9
952,Scovillain,Grass  Fire,486,65,108,65,108,65,75,9
954,Rabsca,Bug  Psychic,470,75,50,85,115,100,45,9
956,Espathra,Psychic,481,95,60,60,101,60,105,9
959,Tinkaton,Fairy  Steel,506,85,75,77,70,105,94,9
961,Wugtrio,Water,425,35,100,50,50,70,120,9
962,Bombirdier,Flying  Dark,485,70,103,85,60,85,82,9
966,Revavroom,Steel  Poison,500,80,119,90,54,67,90,9
967,Cyclizar,Dragon  Normal,501,70,95,65,85,65,121,9
968,Orthworm,Steel,480,70,85,145,60,55,65,9
970,Glimmora,Rock  Poison,525,83,55,90,130,81,86,9
972,Houndstone,Ghost,488,72,101,100,50,97,68,9
973,Flamigo,Flying  Fighting,500,82,115,74,75,64,90,9
975,Cetitan,Ice,521,170,113,65,45,55,73,9
976,Veluza,Water  Psychic,478,90,102,73,78,65,70,9
977,Dondozo,Water,530,150,100,115,65,65,35,9
978,Tatsugiri  Curly Form,Dragon  Water,475,68,50,60,120,95,82,9
979,Annihilape,Fighting  Ghost,535,110,115,80,50,90,90,9
980,Clodsire,Poison  Ground,430,130,75,60,45,100,20,9
981,Farigiraf,Normal  Psychic,520,120,90,70,110,70,60,9
982,Dudunsparce  Two-Segment Form,Normal,520,125,100,80,85,75,55,9
983,Kingambit,Dark  Steel,550,100,135,120,60,85,50,9
984,Great Tusk,Ground  Fighting,570,115,131,131,53,53,87,9
985,Scream Tail,Fairy  Psychic,570,115,65,99,65,115,111,9
986,Brute Bonnet,Grass  Dark,570,111,127,99,79,99,55,9
987,Flutter Mane,Ghost  Fairy,570,55,55,55,135,135,135,9
988,Slither Wing,Bug  Fighting,570,85,135,79,85,105,81,9
989,Sandy Shocks,Electric  Ground,570,85,81,97,121,85,101,9
990,Iron Treads,Ground  Steel,570,90,112,120,72,70,106,9
991,Iron Bundle,Ice  Water,570,56,80,114,124,60,136,9
992,Iron Hands,Fighting  Electric,570,154,140,108,50,68,50,9
993,Iron Jugulis,Dark  Flying,570,94,80,86,122,80,108,9
994,Iron Moth,Fire  Poison,570,80,70,60,140,110,110,9
995,Iron Thorns,Rock  Electric,570,100,134,110,70,84,72,9
998,Baxcalibur,Dragon  Ice,600,115,145,92,75,86,87,9
1000,Gholdengo,Steel  Ghost,550,87,60,95,133,91,84,9
1001,Wo-Chien,Dark  Grass,570,85,85,100,95,135,70,9
1002,Chien-Pao,Dark  Ice,570,80,120,80,90,65,135,9
1003,Ting-Lu,Dark  Ground,570,155,110,125,55,80,45,9
1004,Chi-Yu,Dark  Fire,570,55,80,80,135,120,100,9
1005,Roaring Moon,Dragon  Dark,590,105,139,71,55,101,119,9
1006,Iron Valiant,Fairy  Fighting,590,74,130,90,120,60,116,9
1007,Koraidon,Fighting  Dragon,670,100,135,115,85,100,135,9
1008,Miraidon,Electric  Dragon,670,100,85,100,135,115,135,9
1009,Walking Wake,Water  Dragon,590,99,83,91,125,83,109,9
1010,Iron Leaves,Grass  Psychic,590,90,130,88,70,108,104,9
1013,Sinistcha,Grass  Ghost,508,71,60,106,121,80,70,9
1014,Okidogi,Poison  Fighting,555,88,128,115,58,86,80,9
1015,Munkidori,Poison  Psychic,555,88,75,66,130,90,106,9
1016,Fezandipiti,Poison  Fairy,555,88,91,82,70,125,99,9
1017,Ogerpon  Teal Mask,Grass,550,80,120,84,60,96,110,9
1017,Ogerpon  Wellspring Mask,Grass  Water,550,80,120,84,60,96,110,9
1017,Ogerpon  Hearthflame Mask,Grass  Fire,550,80,120,84,60,96,110,9
1017,Ogerpon  Cornerstone Mask,Grass  Rock,550,80,120,84,60,96,110,9
1018,Archaludon,Steel  Dragon,600,90,105,130,125,65,85,9
1019,Hydrapple,Grass  Dragon,540,106,80,110,120,80,44,9
1020,Gouging Fire,Fire  Dragon,590,105,115,121,65,93,91,9
1021,Raging Bolt,Electric  Dragon,590,125,73,91,137,89,75,9
1022,Iron Boulder,Rock  Psychic,590,90,120,80,68,108,124,9
1023,Iron Crown,Steel  Psychic,590,90,72,100,122,108,98,9
1024,Terapagos  Terastal Form,Normal,600,95,95,110,105,110,85,9
1025,Pecharunt,Poison  Ghost,600,88,88,160,88,88,88,9
